emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,id
-0.03254133,0.18608227,-0.03844675,-0.12456747,-0.08421376,0.09842368,-0.06299116,0.25196463,0.008858131,0.16,-0.029773165,0.2679585,0.048227604,-0.12456747,0.00615148,0.153787,-0.041584007,-0.07972319,0.03254133,0.06698962,0.035432525,0.1417301,0.08421376,0.18608227,-0.01574779,0.2069358,-0.041584007,0.08882737,-0.027128028,-0.06698962,0.044844292,-0.08882737,0.16,-0.01574779,0.17937717,0.048227604,0.25990003,0.08421376,-0.103406385,0.0002460592,-0.02460592,-0.13016532,0.059115727,0.044844292,0.06299116,-0.16633603,-0.05173395,0.103406385,0.11374087,0.2069358,-0.10851211,-0.048227604,-0.017777778,0.17279507,0.2069358,-0.10851211,0.06698962,-0.12456747,-0.103406385,0.27613994,0.044844292,-0.33685505,0.035432525,-0.01574779,43
-0.013840831,-0.16,0.08882737,-0.03254133,-0.08421376,-0.09356401,-0.16633603,0.43404844,0.19291042,-0.00615148,0.25990003,-0.03254133,0.055363324,-0.07972319,-0.044844292,-0.01574779,0.19986159,-0.059115727,-0.08421376,-0.153787,0.12456747,-0.25196463,0.017777778,-0.029773165,0.1417301,0.17279507,-0.06698962,0.06698962,0.17937717,0.11909266,0.035432525,0.013840831,0.12456747,0.17279507,-0.027128028,0.017777778,0.11909266,-0.027128028,-0.0022145328,0.00153787,-0.13016532,-0.09842368,-0.0005536332,0.08421376,-0.10851211,0.08421376,-0.075355634,-0.06698962,0.06698962,0.012056901,0.03844675,-0.16633603,-0.06698962,0.059115727,0.25990003,0.16,0.06698962,-0.059115727,-0.12456747,-0.01574779,-0.10851211,0.1417301,0.08421376,0.19986159,44
0.013840831,0.13016532,-0.22889657,-0.075355634,-0.029773165,-0.0002460592,0.075355634,0.19986159,-0.17937717,-0.09356401,-0.17937717,0.08882737,0.07972319,-0.13588619,0.0030142253,-0.048227604,0.13016532,0.11909266,0.075355634,-0.007443291,0.2069358,0.13588619,-0.14769705,0.25990003,-0.01574779,0.09356401,0.012056901,0.16,-0.07972319,0.08421376,-0.2214533,-0.08421376,0.07111111,-0.17937717,-0.048227604,0.1417301,-0.153787,-0.06698962,-0.13588619,0.09356401,0.041584007,-0.2214533,0.007443291,0.08421376,0.027128028,-0.1417301,0.027128028,0.027128028,-0.07111111,-0.06299116,0.06698962,-0.03254133,-0.10851211,0.3100961,-0.06299116,-0.11374087,0.19986159,-0.14769705,-0.19291042,-0.14769705,-0.10851211,0.06698962,0.010396002,-0.10851211,46
-0.008858131,-0.055363324,0.2214533,-0.017777778,-0.075355634,0.03254133,-0.05173395,0.103406385,-0.103406385,0.012056901,-0.06698962,-0.007443291,-0.24415225,0.06299116,0.103406385,0.17279507,-0.17279507,0.14769705,-0.059115727,0.1417301,-0.07972319,0.059115727,0.055363324,0.075355634,0.017777778,-0.07972319,0.25196463,-0.09356401,-0.13016532,0.012056901,0.01574779,0.03844675,-0.17937717,-0.027128028,0.01574779,-0.03254133,-0.2214533,0.21413302,0.2364629,-0.06299116,0.10851211,-0.03844675,-0.16633603,0.044844292,-0.13588619,0.153787,-0.075355634,-0.059115727,-0.14769705,-0.059115727,0.2679585,0.18608227,-0.1417301,-0.09842368,0.17937717,0.06299116,0.13016532,0.05173395,-0.16633603,-0.14769705,-0.17937717,0.09842368,0.059115727,0.103406385,48
0.08421376,0.11909266,-0.06299116,0.012056901,-0.06698962,0.0039369473,-0.09842368,0.06299116,-0.013840831,0.09356401,0.2069358,0.21413302,-0.075355634,-0.10851211,-0.075355634,-0.12456747,0.012056901,-0.18608227,-0.22889657,0.19291042,-0.06299116,-0.09842368,0.09356401,0.25196463,0.11909266,0.07111111,0.2069358,-0.07972319,-0.05173395,-0.07972319,0.34602076,0.09356401,-0.08882737,0.048227604,0.14769705,0.075355634,-0.008858131,-0.059115727,-0.12456747,0.14769705,-0.048227604,0.075355634,0.11374087,0.13016532,0.16,-0.103406385,0.029773165,-0.02460592,-0.012056901,0.0039369473,0.044844292,-0.09842368,0.041584007,0.19291042,0.2069358,-0.05173395,0.13588619,-0.13016532,0.18608227,0.2679585,-0.00153787,-0.10851211,0.027128028,0.02460592,53
0.08882737,-0.12456747,0.041584007,-0.14769705,-0.041584007,-0.103406385,-0.059115727,0.3553095,0.08882737,-0.012056901,0.2069358,0.0039369473,-0.03254133,-0.048227604,-0.08421376,-0.08882737,-0.07972319,0.022206843,0.2069358,-0.12456747,0.14769705,-0.09842368,0.00615148,-0.06698962,0.14769705,0.11374087,-0.17937717,0.11374087,0.2069358,-0.055363324,0.2069358,0.06299116,0.044844292,0.11909266,-0.07111111,0.09356401,0.075355634,-0.11374087,0.06698962,0.09842368,-0.2679585,-0.08882737,-0.059115727,0.17937717,-0.07111111,0.13588619,0.044844292,-0.18608227,0.153787,-0.07972319,0.07111111,-0.13016532,-0.06698962,-0.044844292,0.09842368,0.2069358,0.13588619,0.153787,-0.13016532,-0.017777778,-0.1417301,0.13588619,0.12456747,0.05173395,58
0.048227604,-0.01574779,0.03844675,-0.07972319,-0.019930797,-0.24415225,-0.022206843,0.31889275,0.07111111,0.048227604,0.2214533,-0.10851211,-0.07972319,-0.048227604,-0.18608227,-0.048227604,-0.13588619,-0.027128028,0.059115727,-0.14769705,0.13016532,-0.07972319,0.013840831,-0.06299116,0.17937717,0.14769705,-0.19986159,0.035432525,0.10851211,-0.0039369473,0.12456747,0.13016532,0.08882737,0.08421376,0.0039369473,-0.017777778,-0.0009842368,-0.103406385,0.11374087,-0.055363324,-0.2214533,-0.059115727,-0.044844292,0.103406385,-0.0022145328,0.007443291,0.2214533,-0.21413302,0.3100961,-0.1417301,-0.012056901,-0.09356401,-0.09842368,0.11909266,0.07972319,0.24415225,0.19291042,0.11909266,-0.08882737,0.041584007,-0.08421376,-0.048227604,0.03254133,0.10851211,59
0.12456747,0.13016532,0.13588619,0.09356401,-0.00615148,-0.06698962,0.027128028,0.048227604,-0.37425604,-0.1417301,0.019930797,0.03844675,-0.21413302,0.08882737,0.17279507,-0.027128028,-0.153787,-0.06299116,0.17279507,-0.03844675,0.041584007,-0.035432525,0.013840831,-0.13016532,-0.2214533,0.041584007,-0.075355634,-0.2069358,0.10851211,0.153787,-0.06299116,0.02460592,-0.017777778,-0.2069358,-0.027128028,0.11374087,0.044844292,-0.012056901,-0.34602076,-0.044844292,0.16,-0.00153787,-0.029773165,-0.17937717,0.048227604,0.09842368,0.13588619,0.041584007,-0.05173395,-0.055363324,-0.013840831,0.012056901,0.05173395,-0.00615148,0.09842368,0.16,-0.075355634,-0.05173395,-0.30142254,-0.14769705,0.03254133,-0.09842368,0.044844292,0.13016532,66
-0.01574779,-0.11909266,0.03844675,-0.10851211,-0.055363324,-0.25196463,-0.11374087,0.18608227,0.03254133,-0.041584007,0.2364629,-0.075355634,-0.027128028,-0.2069358,-0.22889657,-0.007443291,-0.059115727,-0.041584007,-0.059115727,-0.055363324,0.044844292,-0.1417301,0.010396002,-0.06299116,0.06299116,0.11374087,-0.1417301,-0.044844292,0.25196463,-0.00153787,0.07111111,-0.029773165,0.11909266,0.075355634,-0.11374087,0.2214533,0.19291042,-0.019930797,-0.007443291,-0.044844292,-0.12456747,-0.035432525,-0.13016532,0.2364629,-0.013840831,0.1417301,0.19291042,-0.17937717,0.13588619,-0.24415225,0.07111111,-0.035432525,-0.07111111,0.08882737,0.08421376,0.13588619,0.2364629,-0.02460592,-0.03254133,-0.06698962,-0.19291042,0.07111111,0.16,0.03844675,67
0.11909266,0.03844675,0.048227604,-0.008858131,-0.041584007,0.013840831,0.06299116,0.027128028,-0.10851211,0.0030142253,0.06698962,0.06299116,-0.28444445,0.019930797,0.09356401,0.09356401,-0.004982699,0.08882737,-0.25990003,0.035432525,-0.3100961,0.044844292,0.16633603,0.153787,0.09356401,0.044844292,0.2214533,-0.022206843,-0.013840831,0.16,-0.153787,0.07111111,-0.24415225,-0.055363324,0.153787,0.010396002,-0.17937717,0.19291042,0.2364629,-0.17279507,0.00615148,-0.09842368,-0.18608227,0.19291042,-0.059115727,0.13588619,-0.2214533,-0.008858131,-0.103406385,0.008858131,0.03254133,0.09356401,0.035432525,-0.075355634,0.08882737,0.103406385,-0.03844675,-0.019930797,-0.17279507,-0.16633603,-0.07972319,0.03254133,0.06698962,0.09842368,69
