id,dim
2812,2.5962765216827393
2813,3.6436986923217773
2815,6.426486968994141
2829,4.753294467926025
2835,4.147560119628906
2845,3.791898488998413
2846,2.923783779144287
2849,4.294912815093994
2851,5.849582195281982
2853,5.074488162994385
2856,3.672701358795166
2870,2.7397289276123047
2871,3.734729051589966
2878,5.7874555587768555
2893,4.873093128204346
2897,3.762176752090454
2908,3.8066391944885254
2912,3.9436604976654053
2927,5.7499589920043945
2940,5.061436176300049
2943,3.5251832008361816
2953,3.6638450622558594
2957,3.611025333404541
2959,5.5931010246276855
2964,2.2069196701049805
2967,3.788219690322876
2970,5.0195536613464355
2985,3.7516868114471436
2990,2.0807313919067383
2991,5.013524055480957
2993,6.327264308929443
2996,4.2941060066223145
3000,7.582057476043701
3005,1.5351629257202148
3006,2.914982795715332
3018,2.802250385284424
3019,3.0689167976379395
3026,3.6640918254852295
3028,3.9910194873809814
3032,8.222261428833008
3043,1.2707445621490479
3045,3.6837143898010254
3062,3.7082769870758057
3065,6.16480827331543
3077,6.738691806793213
3080,3.1488404273986816
3081,5.113128185272217
3084,5.956621170043945
3094,4.243913650512695
3098,4.3186211585998535
3100,2.2747244834899902
3104,2.5976850986480713
3106,4.55056619644165
3110,5.331171989440918
3113,1.896723747253418
3114,2.5507609844207764
3117,5.484446048736572
3125,4.531787395477295
3126,1.3041493892669678
3128,5.430446624755859
3129,5.459311008453369
3130,7.2878899574279785
3132,1.5985636711120605
3134,2.4053475856781006
3147,4.418522834777832
3151,5.20335578918457
3153,2.976193428039551
3159,4.069047927856445
3166,4.469047546386719
3172,5.724383354187012
3174,5.612976551055908
3177,3.484027147293091
3181,7.061217784881592
3185,2.5894041061401367
3186,2.8653149604797363
3206,1.3545536994934082
3212,5.313023090362549
3214,4.426074981689453
3220,3.8346140384674072
3226,7.845327854156494
3233,4.656293869018555
3239,2.7791152000427246
3240,3.4425697326660156
3241,6.160632133483887
3243,4.9465837478637695
3244,4.06589412689209
3253,4.256622791290283
3256,6.348235607147217
3261,2.304529905319214
3264,4.1201910972595215
3267,5.112130641937256
3277,4.36408805847168
3285,11.895301818847656
3287,5.0389909744262695
3297,4.452932357788086
3303,6.069868087768555
3304,8.143145561218262
3306,2.1642673015594482
3312,6.419889450073242
3315,3.848808765411377
3316,4.913908004760742
3332,5.107604026794434
3333,4.2389421463012695
3338,6.65460205078125
3341,4.963510036468506
3345,10.75131607055664
3350,2.7839577198028564
3352,6.333230972290039
3356,4.217698574066162
3357,7.654958248138428
3359,2.085293769836426
3370,5.511977672576904
3372,4.447667121887207
3388,2.1789681911468506
3420,4.129227638244629
3421,3.6393563747406006
3428,3.2751200199127197
3432,8.699237823486328
3438,3.4882593154907227
3440,4.287269592285156
3441,2.553766965866089
3442,4.90674352645874
3443,2.3632326126098633
3445,5.505141735076904
3449,2.857107162475586
3454,2.430666923522949
3464,5.746491432189941
3475,4.47958517074585
3476,6.626547336578369
3477,5.806638717651367
3478,3.5877809524536133
3481,2.2166965007781982
3485,4.556124210357666
3488,2.2478411197662354
3495,3.5693328380584717
3496,5.912508010864258
3502,4.215821743011475
3506,5.512662887573242
3508,4.2149658203125
3514,2.9398624897003174
3522,4.309090614318848
3524,3.385314702987671
3526,4.742203712463379
3528,2.3779003620147705
3529,3.8808341026306152
3530,3.3288190364837646
3531,5.458837032318115
3535,2.1376535892486572
3555,4.3792901039123535
3556,2.6343801021575928
3558,8.473416328430176
3568,2.0043857097625732
3582,2.6539371013641357
3584,5.389815807342529
3586,4.5388407707214355
3589,3.132925510406494
3591,4.272160530090332
3597,1.8420398235321045
3598,5.2584004402160645
3599,2.8422017097473145
3600,4.632233619689941
3603,7.4702467918396
3609,2.8650379180908203
3614,3.8717129230499268
3637,5.8677754402160645
3657,2.162335157394409
3658,1.9576836824417114
3660,4.513071060180664
3667,3.893415927886963
3669,3.4165632724761963
3693,7.155191421508789
3694,2.066765308380127
3703,1.734230399131775
3708,2.9100472927093506
3717,3.671076774597168
3721,4.187257766723633
3724,4.740964889526367
3729,5.056962013244629
3750,4.787768363952637
3758,6.688960075378418
3785,4.0386152267456055
3786,5.876789569854736
3788,3.3911242485046387
3790,4.229265213012695
3796,4.888311862945557
3808,2.9956748485565186
3813,3.1417911052703857
3814,3.504971504211426
3822,5.903905391693115
3825,6.345661163330078
3830,9.630277633666992
3835,3.790119171142578
3837,2.072359561920166
3840,2.924670457839966
3843,16.400617599487305
3845,3.648292303085327
3852,3.8759093284606934
3853,4.153480529785156
3855,1.6090174913406372
3857,3.1157608032226562
3859,7.395079135894775
3860,6.132771968841553
3864,1.8037773370742798
3866,3.401566743850708
3870,3.5087778568267822
3875,6.610300064086914
3877,4.014726638793945
3888,4.2101359367370605
3897,4.682264804840088
3901,3.6518611907958984
3904,3.3842625617980957
3906,5.229614734649658
3911,9.289204597473145
3918,3.1257293224334717
3921,2.5235371589660645
3923,2.4125049114227295
3924,3.7591404914855957
3932,4.372032642364502
3934,2.3048388957977295
3935,4.479638576507568
3940,5.3629560470581055
3948,4.753493785858154
3950,2.7611382007598877
3960,4.840147018432617
3968,5.426455974578857
3970,1.7321434020996094
3973,3.829378604888916
3976,2.9160780906677246
3980,3.673548936843872
3988,1.5401866436004639
3990,1.327965259552002
3992,3.2505509853363037
4001,2.513503074645996
4003,4.3883843421936035
4017,1.5934139490127563
4032,5.002245903015137
4043,1.8021396398544312
4044,1.3990033864974976
4051,6.969151020050049
4062,4.283671855926514
4066,4.830685615539551
4068,3.1496646404266357
4069,2.447270154953003
4075,3.614698648452759
4079,6.486400604248047
4080,6.447103977203369
4082,3.368104934692383
4084,4.833970069885254
4088,2.1214518547058105
4099,7.972210884094238
4100,9.818188667297363
4101,6.359537601470947
4102,5.959808349609375
4103,2.6337037086486816
4107,2.9141159057617188
4110,2.3290693759918213
4113,4.8655900955200195
4127,2.9437427520751953
4128,3.148512363433838
4133,3.6044955253601074
4135,3.208796739578247
4141,4.6934919357299805
4142,5.2668609619140625
4146,6.979086875915527
4150,2.2329061031341553
4161,5.704723358154297
4172,4.920200824737549
4179,3.1076531410217285
4184,4.904895782470703
