total_population,pop_density,maxdist_road,meandist_road,id
0,0,38220,37347,3911
3,2,17210,16677,3921
6,4,50000,50000,3923
0,0,10349,9711,3924
3,1,1746,914,3932
0,0,9968,9327,3940
0,0,6191,5424,3980
30,18,763,297,4003
143,88,8642,7965,4032
0,0,11586,10784,4043
7,4,5049,4329,4051
0,0,45764,44901,4062
840,516,2228,1620,4069
0,0,28150,27275,4080
0,0,19616,18805,4082
30,18,3975,3358,4084
0,0,50000,50000,4099
251,154,1280,454,4100
0,0,50000,50000,4107
0,0,50000,50000,4128
3,2,6194,5520,4141
104,64,639,230,4142
0,0,16511,15648,4146
3,2,12871,12142,4161
1,0,5391,4570,4172
0,0,50000,50000,4179
63,39,2143,1457,4184
7,4,39390,38524,4186
0,0,6171,5308,4188
74,45,643,246,4195
1,0,9553,8898,4199
1,0,8595,7718,4207
78,47,1455,595,4216
7,4,21596,20708,4217
0,0,50000,50000,4222
1,0,3762,2967,4234
0,0,26384,25736,4238
0,0,49999,49350,4251
0,0,894,342,4253
0,0,9359,8620,4261
90,55,1022,355,4266
2,1,23891,23031,4283
14,9,14371,13528,4299
20,12,14566,13904,4313
169,104,1192,462,4316
0,0,17433,16678,4324
0,0,10275,9573,4336
0,0,28765,27896,4340
0,0,30453,30054,4350
0,0,4594,3735,4351
0,0,1110,328,4358
360,221,7442,6950,4361
72,44,601,185,4365
2,1,1937,1246,4366
0,0,1622,726,4372
0,0,36100,35265,4373
42,26,1900,1275,4378
0,0,50000,50000,4381
3,1,843,341,4389
9,5,12310,11506,4403
0,0,3153,2427,4415
0,0,50000,50000,4426
0,0,28570,27688,4427
1,0,3677,2862,4441
0,0,1999,1106,4460
0,0,50000,50000,4462
1,0,1502,857,4474
69,42,1596,726,4484
0,0,19751,18898,4493
37,23,696,320,4511
0,0,8464,7593,4523
1,0,4497,3840,4524
0,0,36742,35859,4528
0,0,50000,50000,4535
0,0,7130,6334,4537
11,7,2840,2068,4538
0,0,50000,50000,4546
0,0,3952,3272,4567
0,0,23240,22535,4570
0,0,6327,5533,4593
0,0,15681,14887,4599
0,0,50000,50000,4605
82,50,1327,497,4616
0,0,2580,1932,4639
4,2,4790,4113,4642
12,7,1051,349,4645
1,1,4335,3488,4650
0,0,50000,50000,4680
75,46,1032,396,4702
0,0,3408,2638,4715
347,213,1424,621,4727
7,4,4766,4128,4739
5,3,1498,620,4745
0,0,50000,50000,4750
0,0,26527,25732,4751
3,1,45600,44722,4765
1,0,2894,2091,4768
163,100,10110,9340,4773
63,38,1638,1041,4775
0,0,1088,349,4778
429,263,1266,522,4782
3,1,3809,3162,4785
0,0,50000,50000,4786
0,0,842,255,4793
0,0,21412,20611,4803
0,0,879,306,4810
0,0,3489,2641,4811
146,89,1338,520,4812
3,1,772,308,4840
0,0,13993,13336,4853
223,136,2192,1500,4861
5,3,13489,13052,4869
0,0,50000,50000,4870
1837,1127,1082,623,4872
0,0,9507,8636,4915
0,0,49489,48803,4916
100,61,3990,3370,4917
5,3,1651,793,4928
6,4,1672,1009,4936
0,0,50000,50000,4937
0,0,17559,16860,4938
8,5,3184,2423,4963
0,0,5535,4835,4970
0,0,4073,3430,4977
22,14,2132,1460,4984
0,0,50000,50000,4995
31,19,8435,7683,5000
1,0,39378,38602,5008
70,43,6926,6052,5034
0,0,31211,30537,5038
0,0,8907,8079,5058
0,0,50000,50000,5098
2,1,1153,582,5102
0,0,2026,1158,5103
1,0,2822,2030,5105
2,1,6395,5540,5116
2,1,3488,2728,5120
0,0,50000,50000,5134
0,0,2878,2075,5138
0,0,14597,13799,5146
0,0,50000,50000,5162
0,0,50000,50000,5166
5,3,1871,1229,5173
3,1,2590,1837,5188
0,0,50000,50000,5212
11,7,2665,1891,5218
232,142,6061,5367,5219
6,4,5514,4886,5226
0,0,5149,4343,5236
1,0,25455,24775,5240
6,4,14799,13935,5248
82,50,2853,2079,5263
25,15,2144,1364,5268
0,0,4388,3593,5316
0,0,45339,44639,5325
0,0,20249,19504,5326
70,43,2784,2163,5332
15,9,2964,2278,5334
0,0,20112,19427,5339
2,1,938,309,5340
152,93,966,330,5346
0,0,9640,8933,5361
3,2,3464,2623,5366
0,0,5563,4738,5368
0,0,4725,3884,5386
875,537,393,88,5387
0,0,35351,34560,5404
1,1,2040,1409,5406
858,526,1615,899,5413
170,104,2908,2489,5417
2,1,7062,6268,5425
0,0,13041,12164,5435
119,73,1447,896,5451
5,3,2971,2134,5469
4,2,1264,612,5473
0,0,50000,50000,5477
247,151,1099,396,5480
36,22,14860,14462,5489
0,0,1298,525,5494
0,0,50000,50000,5526
0,0,9109,8394,5536
2,1,3391,2520,5539
0,0,50000,50000,5540
1033,634,1412,712,5548
0,0,50000,50000,5551
0,0,9486,8690,5555
0,0,15659,14856,5559
3,1,1483,689,5564
0,0,23243,22359,5566
3,2,4466,3627,5568
2,1,20493,19622,5571
0,0,8459,7827,5622
44,27,3316,2533,5649
3,2,1687,887,5654
0,0,4666,3930,5662
17,10,1059,415,5663
1,1,1097,510,5664
110,67,3278,2460,5668
0,0,50000,50000,5672
0,0,50000,50000,5678
0,0,3221,2553,5684
0,0,45789,44932,5688
35,21,8032,7284,5692
89,54,3908,3316,5694
0,0,38921,38127,5700
0,0,50000,50000,5711
0,0,37851,37009,5718
7,4,7482,6723,5726
8,5,5312,4441,5752
0,0,4870,4000,5759
0,0,9169,8403,5834
20,12,2759,1927,5841
0,0,50000,50000,5857
0,0,38804,38011,5871
1,1,4201,3557,5875
6,3,6038,5366,5878
4,2,2179,1298,5880
0,0,15733,15081,5912
3,2,1524,777,5937
285,175,1423,778,5939
0,0,1568,808,5965
3,1,1480,826,5975
0,0,2067,1169,5986
71,43,17176,16534,5988
170,104,8229,7689,5991
0,0,15252,14405,6057
1,1,2785,2008,6072
0,0,16578,15743,6099
68,42,4248,3382,6118
0,0,18270,17615,6154
52,32,823,311,6156
0,0,20218,19425,6161
0,0,2297,1495,6169
1,1,11395,10540,6203
497,305,406,119,6206
0,0,5760,5052,6222
0,0,50000,50000,6224
0,0,17027,16149,6227
9,5,19210,18410,6247
4,2,20238,19358,6260
0,0,2263,1480,6265
97,59,2246,1748,6270
3,2,15956,15419,6273
1,1,3931,3067,6294
0,0,31287,30494,6305
28,17,2397,1730,6315
0,0,14826,13958,6322
0,0,17673,16797,6332
3,2,3948,3117,6337
3,2,2277,1548,6353
18,11,3040,2238,6360
12,7,4208,3471,6362
0,0,3744,3077,6365
71,43,1917,1068,6384
0,0,10631,9930,6388
22,13,2847,2085,6410
7,4,1039,456,6412
0,0,5569,5140,6413
0,0,13147,12366,6417
0,0,50000,50000,6433
1,0,25770,25052,6439
11,7,5041,4148,6455
110,67,636,284,6457
0,0,2253,1719,6461
20,12,1433,599,6464
61,37,7100,6361,6469
0,0,50000,50000,6475
0,0,1577,943,6521
13,8,5705,4830,6524
139,85,3734,3041,6527
255,156,5900,5028,6548
1,0,1557,879,6569
17,10,3422,2733,6584
0,0,39230,38382,6596
0,0,3665,2986,6609
2,1,2009,1261,6615
195,119,909,340,6624
0,0,4723,4002,6656
0,0,15863,15034,6668
79,49,215,94,6669
41,25,1050,621,6671
16,10,929,306,6680
1,0,3422,2742,6685
0,0,50000,50000,6714
0,0,42992,42138,6724
1552,952,1172,390,6744
28,17,3227,2568,6748
0,0,50000,50000,6752
0,0,34351,33470,6761
1,0,17467,16812,6771
0,0,8964,8090,6777
39,24,6020,5223,6778
0,0,14053,13238,6779
146,89,3299,2460,6802
109,67,887,300,6821
0,0,50000,50000,6832
1,0,5012,4357,6839
0,0,2130,1514,6840
0,0,2123,1498,6861
0,0,50000,50000,6873
0,0,7240,6375,6879
0,0,41101,40316,6888
5,3,1095,353,6914
0,0,14363,13622,6918
161,99,1834,1149,6922
11,6,2920,2190,6923
227,139,832,470,6929
0,0,36675,35920,6934
7,4,10388,9711,6951
0,0,50000,50000,6954
6,4,3531,2846,6978
39,23,1948,1576,6984
2,1,3329,2456,6992
3,2,1868,1240,7005
0,0,30288,29425,7013
0,0,814,255,7016
5,3,2727,1863,7018
2,1,7199,6323,7027
81,49,734,348,7041
0,0,21454,20598,7059
34,21,1343,526,7073
208,128,16979,16180,7080
3,2,3124,2565,7081
7,4,19648,18904,7085
91,55,1076,347,7092
3,2,4530,3785,7097
0,0,1814,1244,7099
6,4,2005,1532,7100
0,0,9477,8764,7102
0,0,26353,25464,7110
0,0,15625,15001,7112
0,0,6369,5615,7119
35,21,1167,426,7145
10,6,2744,2150,7146
14,8,706,300,7153
0,0,38570,37916,7161
19,12,3653,2831,7166
2,1,8013,7170,7167
2,1,19827,18949,7168
12,7,4926,4062,7174
61,37,10544,9801,7215
16,9,3028,2177,7229
44,27,1399,1006,7247
0,0,23259,22584,7252
2,1,617,182,7270
0,0,3931,3269,7293
1,0,20070,19187,7294
0,0,9412,8634,7324
17,10,1022,321,7325
0,0,50000,50000,7333
0,0,667,268,7347
